text,label
Revised Python from lecture notes with focus,1
Practiced DSA on Codeforces for project work,1
Practiced DSA on Codeforces seriously,1
Solved Maths on Codeforces with focus,1
Practiced Machine Learning on Codeforces for college assignment,1
Studied Operating Systems on LeetCode for 2 hours,1
Practiced Python on Codeforces for exam,1
Solved Python on LeetCode seriously,1
Solved DBMS from online course in the morning,1
Revised Web Development from lecture notes for college assignment,1
Worked on Machine Learning using textbooks for placement preparation,1
Practiced Computer Networks on LeetCode in the morning,1
Practiced Web Development using textbooks seriously,1
Prepared Python using textbooks for college assignment,1
Studied Maths on Codeforces seriously,1
Built DSA using textbooks for 2 hours,1
Prepared Machine Learning on Codeforces for college assignment,1
Solved Machine Learning from lecture notes in the morning,1
Revised Machine Learning on LeetCode for exam,1
Built DSA from lecture notes with focus,1
Worked on Operating Systems on Codeforces in the morning,1
Completed DSA using textbooks for placement preparation,1
Built Operating Systems from online course for exam,1
Built Computer Networks on Codeforces for 2 hours,1
Studied Python on LeetCode for exam,1
Revised DBMS on Codeforces for college assignment,1
Solved Web Development from lecture notes for college assignment,1
Built Maths on Codeforces in the morning,1
Revised Web Development on LeetCode for 2 hours,1
Built Machine Learning from lecture notes for college assignment,1
Completed Maths from online course in the morning,1
Solved Computer Networks from lecture notes seriously,1
Worked on Web Development on Codeforces in the morning,1
Built Web Development from online course for exam,1
Studied DSA from lecture notes with focus,1
Revised Computer Networks using textbooks for college assignment,1
Prepared Python from online course in the morning,1
Practiced Computer Networks using textbooks seriously,1
Worked on Operating Systems using textbooks for 2 hours,1
Solved Python on Codeforces with focus,1
Solved DSA from lecture notes for placement preparation,1
Solved Python from online course for college assignment,1
Solved Computer Networks from online course for placement preparation,1
Prepared Web Development from lecture notes in the morning,1
Practiced Operating Systems from online course with focus,1
Worked on Machine Learning from online course for college assignment,1
Completed DBMS on Codeforces in the morning,1
Built Python on Codeforces with focus,1
Studied DBMS using textbooks for 2 hours,1
Studied DSA from online course for exam,1
Practiced Operating Systems using textbooks seriously,1
Worked on Computer Networks from online course in the morning,1
Prepared DSA on Codeforces with focus,1
Practiced Maths on LeetCode for project work,1
Studied DBMS using textbooks for placement preparation,1
Practiced Machine Learning from online course with focus,1
Practiced Maths from lecture notes for 2 hours,1
Solved Computer Networks on LeetCode seriously,1
Prepared DBMS using textbooks for college assignment,1
Solved Web Development on Codeforces for project work,1
Solved Machine Learning on LeetCode for project work,1
Solved Operating Systems using textbooks seriously,1
Practiced DBMS on LeetCode with focus,1
Revised Maths from lecture notes for college assignment,1
Practiced Computer Networks using textbooks with focus,1
Built DSA from lecture notes in the morning,1
Completed Python on Codeforces for exam,1
Prepared Operating Systems on LeetCode for placement preparation,1
Prepared DSA from lecture notes for 2 hours,1
Worked on DSA on Codeforces for college assignment,1
Practiced Machine Learning using textbooks for college assignment,1
Revised Python from lecture notes for placement preparation,1
Built Machine Learning on LeetCode for 2 hours,1
Worked on Machine Learning on Codeforces seriously,1
Solved Maths on Codeforces with focus,1
Revised DSA using textbooks for exam,1
Studied DSA from online course for placement preparation,1
Completed Computer Networks from lecture notes for placement preparation,1
Completed DSA from lecture notes for 2 hours,1
Completed Web Development on Codeforces seriously,1
Solved Maths from lecture notes for college assignment,1
Studied Machine Learning on LeetCode for 2 hours,1
Prepared Maths on Codeforces for project work,1
Worked on Machine Learning from online course seriously,1
Studied Python on LeetCode for 2 hours,1
Revised Operating Systems using textbooks for project work,1
Built Web Development on LeetCode in the morning,1
Built Web Development from online course for placement preparation,1
Practiced Operating Systems from online course for 2 hours,1
Studied Computer Networks from online course in the morning,1
Completed Computer Networks from online course in the morning,1
Practiced Python from online course for placement preparation,1
Solved Maths on LeetCode for placement preparation,1
Prepared Maths using textbooks for 2 hours,1
Practiced Machine Learning on LeetCode for college assignment,1
Studied Python from online course for college assignment,1
Built DBMS from online course for placement preparation,1
Completed Web Development on Codeforces seriously,1
Completed Web Development on LeetCode for project work,1
Practiced Web Development from lecture notes for 2 hours,1
Revised DBMS from lecture notes seriously,1
Studied Machine Learning using textbooks for college assignment,1
Studied Maths on Codeforces for project work,1
Completed DBMS on LeetCode for placement preparation,1
Studied Machine Learning on LeetCode for project work,1
Practiced Operating Systems on Codeforces for exam,1
Built DBMS on LeetCode for placement preparation,1
Prepared Operating Systems on LeetCode for 2 hours,1
Revised Computer Networks from online course for exam,1
Built Machine Learning from online course in the morning,1
Revised DBMS from online course for 2 hours,1
Built Computer Networks from lecture notes for 2 hours,1
Revised Operating Systems on LeetCode for project work,1
Worked on Operating Systems from lecture notes for 2 hours,1
Prepared DBMS from online course for exam,1
Prepared DBMS on Codeforces for placement preparation,1
Built Python from lecture notes seriously,1
Prepared Computer Networks from lecture notes seriously,1
Solved DBMS from online course with focus,1
Prepared DBMS from lecture notes seriously,1
Built Operating Systems using textbooks with focus,1
Built Web Development on LeetCode with focus,1
Built DSA on Codeforces for 2 hours,1
Completed Maths on Codeforces with focus,1
Studied DBMS on LeetCode with focus,1
Worked on Computer Networks from lecture notes with focus,1
Prepared Web Development from online course for 2 hours,1
Completed Computer Networks from online course for project work,1
Completed Operating Systems using textbooks for project work,1
Revised Web Development on Codeforces in the morning,1
Revised Operating Systems on LeetCode seriously,1
Solved Operating Systems on LeetCode with focus,1
Completed Operating Systems from lecture notes for college assignment,1
Revised DBMS from lecture notes for project work,1
Worked on Python on LeetCode in the morning,1
Practiced Maths using textbooks with focus,1
Revised Web Development on LeetCode with focus,1
Solved Operating Systems on LeetCode for exam,1
Built DSA using textbooks with focus,1
Completed Machine Learning using textbooks seriously,1
Revised DBMS from lecture notes with focus,1
Completed Python using textbooks with focus,1
Studied Maths using textbooks for 2 hours,1
Built Operating Systems on LeetCode in the morning,1
Revised Computer Networks using textbooks for 2 hours,1
Worked on Operating Systems from online course for placement preparation,1
Completed DSA on Codeforces for exam,1
Revised Operating Systems on Codeforces for placement preparation,1
Completed Computer Networks from lecture notes in the morning,1
Revised Python using textbooks in the morning,1
Solved DSA on LeetCode for 2 hours,1
